mode,reward
7,0
7,3
8,0
8,2
8,2
8,1
8,0
8,3
8,2
8,1
8,1
8,2
8,1
8,0
8,2
8,5
8,1
8,2
8,0
8,1
8,1
8,1
8,1
8,1
8,1
8,6
8,1
8,1
8,2
8,1
8,0
8,2
8,3
8,1
8,1
8,0
8,0
8,0
8,1
8,1
8,0
8,1
8,3
8,1
8,0
8,2
8,0
8,2
8,1
8,0
8,3
8,1
8,3
8,1
8,2
8,1
8,1
8,2
8,2
8,3
8,0
8,0
8,1
8,3
8,0
8,0
8,0
8,1
8,0
8,1
8,4
8,3
8,0
8,1
8,0
8,0
8,0
8,0
8,0
8,2
8,3
8,1
8,4
8,2
8,2
8,6
8,0
8,2
8,2
8,1
8,1
8,3
8,1
8,2
8,1
8,0
8,0
8,0
8,2
8,2
8,0
8,1
8,0
8,1
8,0
8,2
8,1
8,0
8,0
8,1
8,2
8,1
8,0
8,0
8,0
8,4
8,1
8,3
8,2
8,0
8,1
8,1
8,2
8,0
8,0
8,0
8,0
8,0
8,3
8,1
8,1
8,0
8,1
8,1
8,1
8,2
8,0
8,2
8,1
8,3
8,2
8,0
8,1
8,1
8,0
8,0
8,2
8,1
8,2
8,3
8,2
8,0
8,2
8,1
8,1
8,1
8,6
8,0
8,0
8,2
8,1
8,2
8,1
8,4
8,0
8,0
8,3
8,2
8,2
8,2
8,1
8,0
8,0
8,3
8,0
8,2
8,2
8,0
8,2
8,1
8,0
8,1
8,0
8,0
8,2
8,1
8,0
8,1
8,3
8,1
8,3
8,2
8,1
8,0
8,1
8,0
8,0
8,1
8,1
8,0
8,6
8,0
